"1","Bulbasaur","001","Kanto forests and jungles","When Bulbasaur are born, their mothers plant seeds on their backs. The plants form symbiotic relationships with their hosts, growing alongside the Pokémon and providing them with sustenance. By lying about in the sun, Bulbasaur allow the plants on their backs to photosynthesize and produce energy, which they can then use for themselves. The plants are able to become mobile by virtue of their active hosts, allowing them to move out of shaded areas and thus benefiting them as well. Additionally, Bulbasaur can utilize their plants to perform Grass- and Poison-type attacks such as Razor Leaf and Poison Powder. The attacks protect both the Pokémon and the plants from harm. In the wild, Bulbasaur tend to be very rare, as they are shy creatures that prefer the company of their own kind. However, they are also generally very docile, tame, and loyal to people that they trust, and for that reason are one of the species of Pokémon available for starting trainers to choose in the region of Kanto.","﻿Evolves into Ivysaur at Lvl 16Ivysaur evolves into Venusaur at Lvl 32","Grass/Poison"," 2'04\" | 0.7 m"," 15.2 lbs | 6.9 kg"," Overgrow |"," "," Monster | Grass"," Monster | Grass","
			Caution
		"
"568","Trubbish","568","Landfills, dumps, polluted urban areas","Trubbish are found in polluted urban areas, especially in landfills and dumps where solid waste is abundant. They eat whatever trash they can find laying around and incorporate it into their bodies. They are a hardy species that can live nearly anywhere as long as they can find sufficient food. In forests where campers have left trash, for example, one may find groups of them gathered around abandoned campsites. Trubbish are also known to follow people who litter frequently. Some people believe that Trubbish are inorganic Pokémon created from the interaction of toxic waste with industrial garbage bags. Despite their appearances, though, DNA analysis has revealed that Trubbish have organic origins, though their true histories are unknown. Their breaths are putrid due to the garbage they eat; their burps can literally be toxic, depending on what they have eaten recently. The gas they expel when they belch can be knock a person out for a week, or even cause life-threatening issues in young children and Pokémon. Trubbish have gone nearly extinct in Alola due to predation by Alolan Grimer and Muk, who are attracted by their putrid stench. In Galar, however, they have a more benign relationship with Galarian Weezing, who harmlessly feed on the fumes that Trubbish belch out.","﻿Evolves into Garbodor at Lvl 36","Poison"," 2'00\" | 0.6 m"," 68.3 lbs | 31.0 kg"," Stench | Sticky Hold |"," Aftermath"," Mineral"," Mineral","
			Caution
		"
"569","Garbodor","569","Landfills, dumps, polluted urban areas","Garbodor consume vast amounts of refuse daily. Their bodies contain potent toxins undiscovered by science, developed from the rancid waste they eat; a Garbodor's poisonous cocktail will change daily based on its last meal. They have adapted to consume garbage so efficiently that they do not even have to chew; they simply inhale and swallow trash whole. Though peaceful, Garbodor are more than capable of defending themselves when threatened. They will grab foes with their left hands, spray them with virulent poison from the fingertips on their right hands, and then belch in their faces to knock them unconscious with poison gases. Due to their unpleasant smells and appearances, Garbodor are maligned by many. Some cities have even tried to remove them from their landfills. Despite this vitriol, Garbodor are in fact integral residents of urban areas; they consume waste far more cleanly than any machine, and without them many cities would become exceedingly filthy. An exception to this is in Alola, where they have been driven nearly to extinction by both competition and predation by Alolan Muk. Recent studies suggest, however, that the the Garbodor that do remain in Alola are possibly stronger than their mainland counterparts in evolutionary response to this predatory pressure.","﻿Evolves from Trubbish at Lvl 36Certain Garbodor can Gigantamax into Gigantamax Garbodor","Poison"," 6'03\" | 1.9 m"," 236.6 lbs | 107.3 kg"," Stench | Weak Armor |"," Aftermath"," Mineral"," Mineral","
			Caution
		"
"570","Zorua","570","Forests, woodlands, urban outskirts","Zorua are wily Pokémon that are skilled in the art of illusion. They can disguise themselves as nearly anything to hide from danger. Zorua are capable of veiling themselves as both humans and Pokémon; unlike Zoroark, however, their tails will remain no matter what guise they take up. Zorua also uses their abilities to trick others and steal their food. They disguise themselves as duplicates of their targets, so that even if they are caught, their victims will be too stunned to react. Zorua also seem to enjoy tricking others purely for fun. They often will assume the forms of human children, pickpocketing passerby while feigning innocence if caught. Their illusions can be broken if they are startled or injured while disguised. Unlike the transforming Pokémon Ditto, however, Zorua do not alter their bodies when disguising themselves; instead, they simply create illusions to fool onlookers. This means that Zorua do not assume the powers of their disguises. Zorua disguised as humans, for example, are unable to talk intelligibly. Zorua are quite cowardly when exposed, and thus always remain disguised expect when around friends.","﻿Evolves into Zoroark at Lvl 30","Dark"," 2'04\" | 0.7 m"," 27.6 lbs | 12.5 kg"," Illusion"," Field","Habitat","Habitat","
			Caution
		"
"571","Zoroark","571","Forests, woodlands, urban outskirts","Zoroark have mastered the art of illusion. In addition to being able to disguise themselves, these Pokémon can conjure entire landscapes and beings around themselves to fool onlookers. Their illusions are highly realistic; they can even make people believe that they have been physically hit by attacks that had in fact been illusory. Zoroark will protect their lairs with false scenery that conceal their entrances, luring potential intruders away without their knowledge. They normally live in packs, the members of which are highly protective of one another.  They are especially defensive of their young, which they will often carry within their thick manes. Zoroark are very intelligent Pokémon; some have even learned human languages in order to produce more convincing human disguises. These Pokémon are known to be very vengeful, trapping anyone that harms their friends or families in eternal, frightful illusions. The only way to break a Zoroark’s illusion without its consent is to harm the Zoroark itself, a task that is nearly impossible for the unfortunate being trapped within it.","﻿Evolves from Zorua at Lvl 30","Dark"," 5'03\" | 1.6 m"," 178.8 lbs | 81.0 kg"," Illusion"," Field","Habitat","Habitat","
			Caution
		"
"572","Minccino","572","Woodlands, mountains","Minccino live in large herds in woodlands and on rocky mountains. These Pokémon are obsessed with cleanliness and will not rest until their surroundings are absolutely spotless. They use their soft tails as brooms to sweep the ground and clean dirty rocks and leaves, which they will also organize into neat, symmetrical patterns. Afterwards, they will spend as much as much as an entire day washing their tails in clear spring water. Two Minccino will greet each other by rubbing tails together and then using their tails to groom each. The Minccino with the fluffier tail will assert itself as the more dominant of the pair. These creatures also loves shiny objects; they will obsessively polish any metal that they find until it sparkles in the sunlight. Herds of Minccino ​can be found crowded around broken glass discarded by hikers in the wild, attracted by the glimmering shards. Minccino fur is highly coveted for its luxurious feel, said to be akin to soft velvet. Unfortunately, this has led to extensive poaching of Minccino, despite efforts by many regions to curb such activity. These Pokémon have become critically endangered in the wild due to poaching and the incessant demand for their fur.","﻿Evolves into Cinccino with a Shiny Stone","Normal"," 1'04\" | 0.4 m"," 12.8 lbs | 5.8 kg"," Cute Charm | Technician | Skill Link"," Field","Habitat","Habitat","
			Caution
		"
"573","Cinccino","573","Woodlands, mountains","Cinccino are rare sights in the wild, since they need Shiny Stones to evolve. Their fur is just as soft as that of Minccino, but it has a few additional properties that make it unique. Firstly, the hairs of Cinccino fur are arranged in such a way that they prevent static electricity from building up; additionally, the fur is also coated in oil that repels dust and water, which beads and slides right off their bodies. This special oil also helps them deflect and blunt attacks, both physical and ranged. This helps them resist harm from other Pokémon as well as slip out of dangerous situations even when cornered. Cinccino will coat their nests in this oil to keep them spotless, as they will not tolerate even the smallest speck of dust. Unlike Minccino fur, there is little demand for Cinccino fur on the black market despite its strange properties. This is because the oil coating the fur makes it unsuitable for clothing and most other uses. Additionally, the rarity of Cinccino make them poor choices for economic profit. However, the oil that they secrete is popular, if a bit expensive, as a skin treatment. Like Minccino, Cinccino also are focused on cleanliness; they use their scarf-like fur to wipe down surfaces before touching them.","﻿Evolves from Minccino with a Shiny Stone","Normal"," 1'08\" | 0.5 m"," 16.5 lbs | 7.5 kg"," Cute Charm | Technician | Skill Link"," Field","Habitat","Habitat","
			Caution
		"
"574","Gothita","574","Urban outskirts","Gothita are odd Pokémon found primarily in run-down areas of human towns and cities. Unlike many first-stage Pokémon, Gothita have extremely long attention spans; when they notice something new, they will stare at it intently for minutes or even hours on end. Gothita sometimes forget to blink as they stare and occasionally even fail to notice when they are being attacked in battle due to how closely they are examining their opponents. Sometimes, these Pokémon will even stare out into thin air, focusing on what appears to be nothing to most onlookers. They have also been observed \"speaking\" in muted, inaudible tones when doing so. Groups of Gothita are known to congregate around and fixate upon the same spot in the air, leading some researchers to suggest that these Pokémon may be able to see and talk to things that no other beings can. No scientific studies have successfully proven this theory, however. The bow-like feelers that adorn their heads amplify their psychic powers. If these feelers are disturbed while Gothita are examining something, they will lose their concentration and snap out of their trances.","﻿Evolves into Gothorita at Lvl 32Gothorita evolves into Gothitelle at Lvl 41","Research Notes","","Psychic"," 1'04\" | 0.4 m"," 12.8 lbs | 5.8 kg"," Human-Like"," Human-Like","
			Caution
		"
"575","Gothorita","575","Urban outskirts","Whereas Gothita are sometimes seen as unsettling due to their piercing stares, Gothorita are feared in many rural communities due to the many urban legends surrounding their behavior. Gothorita are nocturnal and are said to derive their psychic powers from starlight and constellations. These Pokémon will arrange stones to match the positions of the stars overhead and then levitate them in the air for unknown reasons. Many legends say this practice is a ritual that grants Gothorita the power to hypnotize and control the minds of unwary people and Pokémon nearby. Gothorita are believed to lead people away from their homes and into forests in this manner, wiping their memories along the way. Some legends even tell stories of how lonely Gothorita will hypnotize young children while they lay asleep on starry nights, manipulating them to play with the Gothorita as “friends.” For this reason, Gothorita in some areas are known as \"witches of the night.\" Despite these haunting tales, there is no scientific evidence that these Pokémon engage in such activities, and it is likely that these wild stories were simply spawned by their odd, inexplicable behaviors.","﻿Evolves from Gothita at Lvl 32Evolves into Gothitelle at Lvl 41","Research Notes","","Psychic"," 2'04\" | 0.7 m"," 39.7 lbs | 18.0 kg"," Human-Like"," Human-Like","
			Caution
		"
"576","Gothitelle","576","Urban outskirts","Gothitelle are respected by people and Pokémon alike because of their tremendous psychic capabilities. They can emit intense psychic powers capable of momentarily distorting space thousands of light-years away. These Pokémon are amazingly adept at reading star charts and examining the night sky, observing the positions and movements of celestial bodies in order to predict the future. Because of their foresight, people in ancient times used to consult Gothitelle for advice, predictions, and warnings. Many pieces of ancient literature around the world allude to translated prophecies given by these Pokémon. Gothitelle are also capable of showing cryptic images of their predictions to onlookers by projecting them onto the empty space surrounding them. They can predict the lifespans of other living creatures, including those of themselves, their friends, and their trainers. As a result, despite their great power, Gothitelle are often seen sad or crying because of what they know is ultimately inevitable for both themselves and their loved ones. It is said that if one ever manages to glimpse their true fate through a Gothitelle, one would go mad from the revelation.","﻿Gothita evolves into Gothorita at Lvl 32Evolves from Gothorita at Lvl 41","Psychic"," 4'11\" | 1.5 m"," 97.0 lbs | 44.0 kg"," Frisk | Competitive | Shadow Tag"," Human-Like","Habitat","Habitat","
			Caution
		"
"577","Solosis","577","Urban outskirts","Solosis are believed to be a very primitive species, having remained unchanged for thousands, perhaps even millions, of years. They are enormous single-celled organisms that have developed specialized organelles analogous to the more complex organs of multicellular Pokémon. Their cell membranes enclose their green, gelatinous cytoplasm; the two substances guard Solosis from a staggering range of conditions, allowing them to survive virtually anywhere. Their membranes shield them from radiation and harsh weather, while their cytoplasm regulates their temperature and internal pressure. Because of these properties, Solosis cytoplasm is currently being researched for use in volcanic and benthic submersibles. Similarly, scientists are trying to replicate their membranes for applications in space travel. However, extreme blunt force is capable of tearing the membranes and allowing some fluid to leak out. Solosis have highly-developed, spiral-shaped organelles on the left sides of their heads that function like brains. They allows Solosis to wield moderate psychic powers and also enable them to communicate telepathically with others of their kind.","﻿Evolves into Duosion at Lvl 32Duosion evolves into Reuniclus at Lvl 41","Research Notes","","Psychic"," 1'00\" | 0.3 m"," 2.2 lbs | 1.0 kg"," Amorphous"," Amorphous","
			Caution
		"
"578","Duosion","578","Urban outskirts","When Solosis evolve into Duosion, a curious process occurs. They undergo mitosis to divide in two, but stop halfway; this leaves two sets of organelles in their bodies, but only a single cell membrane to contain them. Duosion are still technically a single cell, but because of their arrested development, they sometimes seem to act as two separate beings. This is because they quite literally have two separate “brains” (really the spiral-shaped organelles they had as Solosis, which have migrated into their heads from outside prior to mitosis). The two structures often act independently from one another, forcing Duosion to attempt to execute both actions simultaneously. This usually renders their movements jerky and erratic. Occasionally, both of their brain-like organelles will have the same thought, often due to experiencing a shared threat or initiating an innate reflex. The psychic powers of Duosion are strongest when this occurs--able to reach over half a mile (0.8 kilometers) away--as both organelles are able to act in unison rather than independently in order to focus their abilities.","﻿Evolves from Solosis at Lvl 32Evolves into Reuniclus at Lvl 41","Research Notes","","Psychic"," 2'00\" | 0.6 m"," 17.6 lbs | 8.0 kg"," Amorphous"," Amorphous","
			Caution
		"
"579","Reuniclus","579","Urban outskirts","Reuniclus are unique in that though they are single-celled organisms, their organelles have developed so exceptionally that they are able to consciously shape their cell membranes, cytoplasm, and nuclei (which have adapted to become their main bodies) at will. The brain-like organelles they had as Solosis and Duosion have developed into networks similar to the nervous systems of multicellular beings. By connecting hands with other Reuniclus, these Pokémon can also connect their organelle networks and greatly amplify their psychic powers. Their pseudo-nervous systems enable them to manipulate their membranes and cytoplasm like quasi-muscular systems; they can grasp objects with their “hands” that, with the aid of psychic power, are strong enough to crush boulders. In fact, they seem to prefer fighting in this pseudo-physical way, with reinforced punches, rather than relying solely on psychokinesis. Reuniclus are capable of regenerating torn cell membranes and lost cytoplasm over time; however, damage to their nuclear membranes or their contents, as well as the organelles floating in their “arms,” is almost always permanent. Their cytoplasm is designed to cushion these vital structures. A popular urban legend states that drinking a Reuniclus's cytoplasm will grant one great wisdom. However, this legend is patently false, as the fluid is in fact highly toxic to most creatures if ingested; a famous ancient philosopher is said to have died attempting this very act.","Solosis evolves into Duosion at Lvl 32Evolves from Duosion at Lvl 41","Psychic"," 3'03\" | 1.0 m"," 44.3 lbs | 20.1 kg"," Overcoat | Magic Guard | Regenerator"," Amorphous","Habitat","Habitat","
			Caution
		"
"580","Ducklett","580","Ponds, lakes, large puddles","Ducklett inhabit slightly acidic ponds, though they can also sometimes be found splashing around in large puddles. Their favorite food is peat moss, which is abundant in their habitats. Ducklett never leave their mothers’ sides, walking behind them in single-file lines with their siblings. Ducklett are excellent divers. They will spend long periods of time completely submerged as they search for food. Ducklett are poor fliers, however, so they rarely take to the air, even when endangered. If attacked in the water, Ducklett will splash about wildly to distract opponents as they escape. The splashing also alerts their mothers and siblings of approaching danger. Ducklett store water in flexible sacs within their bodies; on land, they can then spray this stored water from specialized feathers on their wings at the eyes of foes, briefly obscuring their vision as they frantically waddle away. Their distressed quacking will signal to their siblings to aid them in spraying more water as well, potentially blinding threats from all possible angles.","﻿Evolves into Swanna at Lvl 35","Research Notes","","Water/Flying"," 1'08\" | 0.5 m"," 12.1 lbs | 5.5 kg"," Water 1 | Flying"," Water 1 | Flying","
			Caution
		"
"581","Swanna","581","Ponds, lakes","Swanna are very protective of their offspring, who follow behind them in single-file lines at all times. Despite their elegant appearances, Swanna are very territorial and deceptively powerful. Their long necks contain powerful muscles that allow them to lunge back and forth very rapidly in order to pierce intruders that enter their domains with their sharp beaks. Their wings are also very strong. In the winter, Swanna without offspring will migrate south, potentially flying thousands of miles in order to reach warmer areas. Swanna are unique in that, despite being territorial, theywill still meet in “flocks” during specific times of the day. At dusk, they will congregate together in the middle of ponds or lakes to complete a ritualistic dance. The Swanna in the centers of these dances are the leaders of the local populations; all of the other Swanna will cede their food or land when confronted by these individuals. Once these rituals are completed, the individual Swanna will return to their own territories and resume being hostile towards others. ","﻿Evolves from Ducklett at Lvl 35","Water/Flying"," 4'03\" | 1.3 m"," 53.4 lbs | 24.2 kg"," Keen Eye | Big Pecks | Hydration"," Water 1 | Flying","Habitat","Habitat","
			Caution
		"
"582","Vanillite","582","Southern icy caves and mountains","The origins of Vanillite are unclear. In Unova folklore, children are told that they arose from icicles that were bathed in the morning sun but wished with all of their might that they would not melt. However, their bodies do not truly resemble icicles, as they have ovoid heads covered by slush. This slush is very sensitive to heat and will melt almost immediately once the ambient air temperature rises above freezing point. Touching the slush with a finger will cause it to melt at the point of contact, exposing the icy heads that they cover. To keep their slush from melting, Vanillite will sleep buried within piles of snow. It is unclear what purpose this slush serves, however. Their breaths can reach a freezing -58°F (-50°C), keeping them cloaked in frosty air; they are sometimes sent out for mere seconds in warm areas to lower temperatures. Any longer than this, however, and their icy bodies will slowly begin to shrink. Their breaths can also freeze water in the air to form snow. Casteliacones, which are sold in Castelia City, Unova, are a popular regional version of soft-serve ice cream that superficially resemble Vanillite. The design was chosen because of how Vanillite are associated with cold weather.","﻿Evolves into Vanillish at Lvl 35Vanillish evolves into Vanilluxe at Lvl 47","Research Notes","","Ice"," 1'04\" | 0.4 m"," 12.6 lbs | 5.7 kg"," Mineral"," Mineral","
			Caution
		"
"583","Vanillish","583","Southern icy caves and mountains","Vanillish and their relatives have been around for thousands of years, but have only been discovered a few centuries ago because of the bitter coldness of their habitats. Vanillish can freeze water in the air into icy mist that can blind and even freeze foes solid in this manner. They drink water from glacial streams and store it within their bodies, simultaneously expelling and freezing it from pores in their bodies to freeze enemies solid before headbutting and shattering them. Vanillish cannot tolerate temperatures even slightly above the freezing point of water, as the slush covering their heads would melt and leave their icy cores exposed. Because of this, they are naturally confined to frozen peaks and glaciers. Despite this, they are very popular in the tropics due to their air-chilling abilities; trainers in regions like Alola must treat their Vanillish periodically with insulating spray to keep them cold; such individuals also tend to be smaller than those found in polar areas. Though once widespread during a past ice age, areas suitable for Vanillish and their relatives shrank and became isolated from each other during a warming period, separated by bands of warmer temperatures that they could not cross. Today, they can only be found in the icy parts of the southern hemisphere and a select few other chilly areas. Vanillish are surprisingly kind Pokémon; they dislike violence and prefer to immobilize attackers just long enough for them to flee without harming them any further.","﻿Evolves from Vanillite at Lvl 35Evolves into Vanilluxe at Lvl 47","Research Notes","","Ice"," 3'07\" | 1.1 m"," 90.4 lbs | 41.0 kg","Ice Body | Snow Cloak | ​Weak Armor","Ice Body | Snow Cloak | ​Weak Armor","
			Caution
		"
"584","Vanilluxe","584","Southern icy caves and mountains","Vanilluxe are two-headed Pokémon that only dwell in the coldest parts of the world. Their heads are slightly different than other multi-headed Pokémon because they appear to share certain portions of their brains, whereas other polycephalic Pokémon have separate brains entirely. For example, their heads will experience the same emotions at the same time; they may, however, express the emotions differently with their facial expressions and behaviors. They can survive with only one head, however. It was once believed that Vanilluxe formed when two Vanllish, partially melted from the day's heat, stuck together and refroze together during the night. Vanilluxe drinks large quantities of glacial water to store within  their bodies. When both heads feel threatened , Vanilluxe will freeze and violently release their stored water as snow clouds or blizzards. This attack is indiscriminate and can freeze both friend and foe. The pipe-like structures growing out of their left heads constantly emit icy mist that shrouds them, keeping the ambient air sufficiently cold to prevent their slush from melting and concealing them from attackers. This icy mist eventually settles to create piles of snow, making these Pokémon incredibly popular amongst snowboarders and skiers. When Vanilluxe stop producing this mist, it is a sign that they are thirsty need more water to freeze and release.","﻿Vanillite evolves into Vanillish at Lvl 35Evolves from Vanillish at Lvl 47","Ice"," 4'03\" | 1.3 m"," 126.8 lbs | 57.5 kg"," ","Ice Body | Snow Warning | ​Weak Armor"," Mineral"," Mineral","
			Caution
		"
"585","Deerling","585","Montane and temperate forests, woodlands","Deerling are found primarily in montane forests, though they are known to venture into lowland areas from time to time as well. They are herbivorous Pokémon that graze on low-growing vegetation. They are also very timid, hiding in tall grass at the slightest indication of danger. Deerling are most famous for their ability to change color in accordance with the seasons. These Pokémon are pink in the spring (to blend in with budding flowers), green in the summer (to camouflage with verdant vegetation), orange in the fall (to match autumn leaves), and brown in the winter (to hide against bare trees).Their scents also change to match that of the vegetation of each season, in order to further conceal themselves from predators. Their fur’s hue is also affected by temperature and humidity. When near the equator, where seasons are less pronounced than in temperate areas, Deerling may only change color slightly or even not at all. These Pokémon were used in the past to mark the changing of the seasons.","﻿Evolves into Sawsbuck at Lvl 34","Research Notes","","Normal/Grass"," 2'00\" | 0.6 m"," 43.0 lbs | 19.5 kg"," "," ","
			Caution
		"
"586","Sawsbuck","586","Montane and temperate forests, woodlands","Sawsbuck live in herds in montane forests. Their most striking features are their antlers, which host a variety of different plants throughout the year. These plants obtain nutrients from the vegetation Sawsbuck eat, and in turn provide them with camouflage to hide in the surrounding environments. In the spring, the flowers budding on their antlers match those growing around them. In the summer and autumn, vivid leaves grow and change color to let Sawsbuck blend in with the trees of the forest. Finally, in the winter, white moss grows over their antlers and fur to allow them to conceal themselves in snow. Sawsbuck herds are led by the individuals with the largest antlers and most beautiful plants growing on them. These Pokémon migrate to different areas each season; because of this, people often refer to them as the “harbingers of spring,” because they return to their initial habitats once spring comes around again. Like Deerling, people often use the antlers of Sawsbuck to determine the season.","﻿Evolves from Deerling at Lvl 34","Research Notes","Normal/Grass"," 6'03\" | 1.9 m"," 203.9 lbs | 92.0 kg"," Chlorophyll | Sap Sipper |","Serene Grace","Serene Grace","
			Caution
		"
"587","Emolga","587","Deciduous forests","Like many Electric-type rodents, Emolga produce and store electricity within their cheek pouches. They have cape-like membranes under their arms that allow them to glide from tree to tree in forests. Emolga are also able to ride winds with their membranes; they can even ascend upwards and soar when weather conditions are ideal. These membranes discharge electricity as they glide. Though rather clumsy on the ground, Emolga are agile both in the trees and in the air. To avoid predators, Emolga will leap from one tree branch and glide to another while attempting to shock them from above in hopes of knocking them to the ground. Their aerial agility allows them to escape from the vast majority of terrestrial predators, though unfavorable weather conditions and storms may hinder their abilities. Emolga nest in the nooks of tree branches or the hollows of tree trunks in holes made by Pikipek. These Pokémon will collect nuts and Berries and store them near their nests in preparation for winter. Emolga will defend their nests very fiercely with electric shocks; this keeps most avian Pokémon away from their otherwise-vulnerable food caches. When thunderstorms arrive, whole populations Emolga will take flight, sometimes amassing in large enough numbers to blot out the sky.","​Pokémon and all associated names and characters are trademarked and © 1995-2019 Nintendo. All non-original images are provided by Bulbapedia, © 1995-2019 Nintendo.No copyright infringement intended.","Electric/Flying"," 1'04\" | 0.4 m"," 11.0 lbs | 5.0 kg"," Static | Motor Drive"," Field","Habitat","Habitat","
			Caution
		"
"588","Karrablast","588","Wetlands, fields, forests","Karrablast dwell in wetlands where Shelmet can also be found, though they may also wander into grassy fields. They are very territorial, butting heads with other Karrablast using the horns on their head to compete for space. Karrablast can spit a mildly corrosive acid from their mouths to deter predators. This acid rarely has a lasting impact on larger foes, however (unless it makes contact with the eyes or other vulnerable locations), so Karrablast often choose to hide in trees or grasses instead to avoid detection. These Pokémon feed on soft-bodied mollusks, dissolving their vulnerable insides with acid while leaving their shells intact. They spend much of their time searching for Shelmet to facilitate their evolutions. When they find them, Karrablast will use their horns to pry the Shelmet out of their shells, which they steal for themselves. With some sort of electrical stimulus, such as a trade, both Pokémon can then evolve. In the wild, competition for Shelmet can be fierce between Karrablast, who will invade each other’s territories and spar with rivals for Shelmet. Shelmet have been known to use this time to sneak away from the danger.","﻿Evolves into Escavalier through trade with Shelmet","Research Notes","","Bug"," 1'08\" | 0.5 m"," 13.0 lbs | 5.9 kg"," Bug"," Bug","
			Caution
		"
"589","Escavalier","589","Wetlands, fields","Once Karrablast successfully steal the shells of Shelmet and experience some sort of electrical stimulus with their victims, they can then evolve into Escavalier. Upon evolution, their stolen shells becomes part of their own bodies; they sacrifice speed for power and durability. Escavalier are able to adjust their armor so that it protects their whole bodies. In addition to piercing foes, they can also use their lances to parry incoming attacks. Though very slow in practice, Escavalier have been known to reach surprisingly high speeds by charging to gain momentum and then leaping so that they “fly” at foes, piercing even the toughest armor with their lances. Because of how much time and space Escavalier need to charge up, however, they rarely are able to execute this technique in battle. Escavalier have a reputation for being brave and courageous Pokémon. They will not give up in fights until they are defeated, no matter how bleak the odds appear to be. Escavalier are often depicted in medieval artwork fighting in battle alongside humans. This is especially true in Kalos and Galar, where they are popular Pokémon; in the latter, they are commonly painted as dueling with Sirfetch'd.","﻿Evolves from Karrablast through trade with Shelmet","Bug/Steel"," 3'03\" | 1.0 m"," 72.8 lbs | 33.0 kg"," Swarm | Shell Armor | Overcoat"," Bug","Habitat","Habitat","
			Caution
		"
"590","Foongus","590","Damp forest floors and fields","Foongus are known for their oddly-patterned caps, which resemble the faces of Poké Balls. For years, these curious adaptations baffled scientists because the caps did not have the gloss, size, or shape of true Poké Balls; laboratory experiments have revealed that the vast majority of wild Pokémon, when showed a real Poké Ball and then a Foongus cap, did not mistake one for the other. A recent, promising hypothesis regarding the cap pattern postulates that while the design is unconvincing from close range, it is sufficient for deterring avian Pokémon—one of their major groups of predators—flying above. In addition to this questionable camouflage, Foongus also have the ability to release poisonous spores to defend themselves from foes. Unfortunately, Foongus spores are one of the most common poisons traveling trainers are afflicted with. Because they resemble Poké Balls when seen from above, many careless trainers approach them and are subsequently doused with their poisonous spores.","﻿Evolves into Amoonguss at Lvl 39","Grass/Poison"," 0'08\" | 0.2 m"," 2.2 lbs | 1.0 kg"," Effect Spore | Regenerator"," Bug","Habitat","Habitat","
			Caution
		"
"591","Amoonguss","591","Damp forest floors and fields","While the crypsis of Foongus is arguably useful in certain situations, that of Amoonguss has been proven to have no use at all, even possibly being detrimental to their survival. While their caps resemble Poké Balls, their texture, shape, and size make them difficult to mistake for the real thing from any angle at all. In the damp, dark areas where Amoonguss dwell, low light levels make such camouflage even less effective, as the red coloration of the caps are dulled and made even less recognizable. Rather than providing a survival advantage, their cap designs appear to be remnants of their pre-evolutions’ survival tactic; because Amoonguss can protect themselves in other ways, their Poké Ball patterns have survived as well despite contributing little to their survival. Like Foongus, Amoonguss are capable of spreading poisonous, incapacitating spores in the air around them. They sway their arm caps and bodies around in intriguing dances to lure in prey, spraying them with their spores once them draw near to paralyze them. ","﻿Evolves from Foongus at Lvl 39","Grass/Poison"," 2'00\" | 0.6 m"," 23.1 lbs | 10.5 kg"," Effect Spore | Regenerator"," Grass","Habitat","Habitat","
			Caution
		"
"592","Frillish","592","Deep ocean waters, trenches and abysses","Frillish live in the deepest, darkest parts of the ocean, where no light ever penetrates. They can be found as deep as five miles (8 kilometers) beneath the surface, resting in trenches and underwater caves. At dusk, Frillish float to higher oceanic zones in search of prey. They float slowly, but silently and stealthily in the ocean currents. Victims almost never notice these Pokémon approaching until it is too late. To capture prey, Frillish wrap their ribbon-like tentacles around their victims, paralyzing them with an incapacitating poison injected by the near-invisible spines lining these appendages. Females tend to have slightly longer spines. Then, Frillish drag their prey down into the ocean depths and back to their lairs, where victims succumb to the crushing pressure of the water above and drown. Because of their eerie natures and vaguely humanoid appearances, some believe that Frillish are actually the reincarnated souls of sailors lost at sea, or perhaps the residents of an ancient sunken city. Small swarms of these Pokémon sometimes congregate around boats in the middle of the sea at night; according to legend, this is because Frillish recall their memories of sailing in their past lives.","﻿Evolves into Jellicent at Lvl 40","Research Notes","","Water/Ghost"," 3'11\" | 1.2 m"," 72.8 lbs | 33.0 kg"," Damp"," Damp","
			Caution
		"
"593","Jellicent","593","Deep ocean waters, trenches and abysses","Jellicent spend much of their time in the deepest parts of the ocean. These Pokémon mate for life and tend to be social amongst others of their kind. Swarms of Jellicent are often found in ocean trenches and abysses. When night falls, Jellicent venture to the ocean’s surface to feed. By absorbing and then expelling seawater from their bodies, they can propel themselves and swim about. In fact, their body compositions are almost exactly identical to the composition of seawater. Many seafaring legends warn of Jellicent swarms, cautioning that no ship or crew has ever entered a Jellicent habitat and returned. Indeed, Jellicent do seem to have an unusual affinity for human ships; between these Pokémon and Dragalge, nearly all cases of “vanishing” vessels are accounted for. They tend to be found more frequently near cruise ships and tankers full of passengers. Jellicent feed on life force, leaving victims as empty husks that sink down into the ocean depths. They even seem to congregate at the ocean's surface on nights of the full moon, when ships are most plentiful. Their crowns are thought to grow larger the more life force they consume. It is said that on the ocean floor lies a Jellicent castle made of sunken shipwrecks. Superstitious sailors purport that this castle is an attempt by Jellicent, believed to be the souls of people lost at sea, to reclaim their old lives in an undersea civilization. ","﻿Evolves from Frillish at Lvl 40","Research Notes","Water/Ghost"," 7'11\" | 2.2 m"," 297.6 lbs | 135.0 kg"," Water Absorb | Cursed Body |"," Amorphous"," Amorphous","
			Caution
		"
